Using the default schema relations
Using Support as pruning metric with threshold 50
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasCheckin>  ?b has taken 33768 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasPOI>  ?b has taken 33458 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 126731 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 127971 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 130547 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 128368 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 122730 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 121352 ms
countProjectionBindings var=?m in ?a  <hasCheckin>  ?f  ?f  <hasTime>  ?l  ?m  <hasTime>  ?l   => ?a  <hasTrajectoryCategory>  <Weekday> has taken 29933 ms
countProjectionBindings var=?o in ?a  <hasCheckin>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasDayOfTheWeek>  ?b has taken 39137 ms
countProjectionBindings var=?o in ?a  <hasCheckin>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasTrajectoryCategory>  ?b has taken 38690 ms
countProjectionBindings var=?o in ?a  <hasCheckin>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasMonth>  ?b has taken 38838 ms
countProjectionBindings var=?o in ?b  <hasCheckin>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasTrajectory>  ?b has taken 39272 ms
countProjectionBindings var=?o in ?g  <hasPOI>  ?a  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOICategory>  ?b has taken 37772 ms
countProjectionBindings var=?k in ?b  <hasTime>  ?j  ?k  <hasTime>  ?j  ?a  <hasTrajectoryCategory>  <Weekday>   => ?a  <hasCheckin>  ?b has taken 38324 ms
countProjectionBindings var=?o in ?a  <hasCheckin>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b has taken 31719 ms
countProjectionBindings var=?o in ?a  <hasCheckin>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b (rewritten to ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?h) has taken 32544 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <hasCheckin>  ?b has taken 126488 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <hasCheckin>  ?b has taken 125564 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b has taken 164207 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <hasCheckin>  ?b has taken 151957 ms
Rule ?h  <hasPOI>  ?b  ?a  <withinTimeWindow>  ?h   => ?a  <hasPOI>  ?b discarded by functionality heuristic with ratio 0.04283490429106148
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <hasTrajectory>  ?a   => ?a  <hasCheckin>  ?b has taken 48525 ms
countProjectionBindings var=?o in ?a  <hasDayOfTheWeek>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b has taken 48601 ms
Rule ?g  <hasPOI>  ?b  ?g  <withinTimeWindow>  ?a   => ?a  <hasPOI>  ?b discarded by functionality heuristic with ratio 0.04283490429106148
countProjectionBindings var=?o in ?a  <hasMonth>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b has taken 49131 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasCheckin>  ?b has taken 167457 ms
countProjectionBindings var=?o in ?g  <hasPOI>  ?b  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOI>  ?b (rewritten to ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?g  <hasPOI>  ?b) has taken 31467 ms
countProjectionBindings var=?o in ?g  <hasPOI>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOI>  ?b has taken 33338 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <hasCheckin>  ?b has taken 148297 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <hasPOI>  ?b has taken 120319 ms
countProjectionBindings var=?o in ?o  <hasPOI>  ?m  ?b  <hasPOICategory>  ?h  ?m  <hasPOICategory>  ?h   => ?a  <hasPOI>  ?b has taken 28165 ms
